patient_id,nom,prenom,sexe,ville,date_naissance
1001,Nyaku,Ayite,M,Bassar,2015-05-07
1002,Boukpessi,Akosua,F,Sokodé,1978-03-22
1003,Foli,Komla,M,Kpalimé,1984-06-02
1004,Dogbe,Abla,F,,2012-06-12
1005,Nyaku,Kossi,M,Sokodé,1996-12-16
1006,Kponou,Edem,M,Kpalimé,2009-04-25
1007,Kponou,Sena,M,Tsévié,1975-09-07
1008,Kpodar,Abla,F,lomé,1968-02-26
1009,Dogbe,Komla,M,Kara,2014-07-12
1010,Kponou,Mawuli,M,Dapaong,1990-02-08
1011,Tchamdja,Afi,F,,1958-06-18
1012,Agbeko,Abla,F,Kara,2016-04-14
1013,Foli,Mawuli,M,Dapaong,2016-08-21
1014,Agbeko,Adjoa,F,Tsévié,2007-08-26
1015,Sassou,Ayite,M,Kpalimé,1995-01-25
1016,Foli,Kossi,M,KARA,1962-08-11
1017,Foli,Kossi,M,Sokodé,1989-01-27
1018,Boukpessi,Komla,M,Kara,1995-12-07
1019,Sassou,Mawuli,M,Kara,1987-07-23
1020,Dogbe,Delali,F,Sokodé,1998-08-22
1021,Adjovi,Yao,M,Sokodé,2001-03-01
1022,Boukpessi,Komla,M,Tsévié,1968-07-27
1023,Adjaho,Kokou,M,Kara,2005-07-17
1024,Amegan,Adjoa,F,Dapaong,1977-07-13
1025,Amegan,Yao,M,Atakpamé,1986-07-27
1026,Sassou,Edem,M,Kara,1996-09-21
1027,Sassou,Abla,F,Kpalimé,1998-04-11
1028,Boukpessi,Afi,F,Kpalimé,2016-01-01
1029,Kpodar,Yao,M,Kpalimé,1957-07-06
1030,Kpodar,Akosua,F,Dapaong,1991-01-19
1031,Foli,Abla,F,Tsévié,2013-06-24
1032,Adjovi,Ayite,M,Dapaong,2012-04-12
1033,Agbeko,Akpene,F,Sokodé,2010-01-27
1034,Agbeko,Komla,M,Kpalimé,2008-07-05
1035,Adjovi,Ama,F,Sokodé,1956-05-12
1036,Tchamdja,Delali,F,Bassar,2009-11-24
1037,Tchamdja,Kossi,M,Bassar,1965-01-09
1038,Tchamdja,Akosua,F,Bassar,1957-04-27
1039,Adjaho,Akosua,F,Sokodé,1973-04-07
1040,Adjovi,Ama,F,Bassar,1993-02-08
1006,Kponou,Edem,M,Kpalimé,2009-04-25
