producteur_id,nom,prenom,sexe,region,prefecture,annee_debut_activite,superficie_ha
1,Adjaho,Adjoa,F,Kara,Kara,2019,2.5
2,Nyaku,Akpene,F,Centrale,Sokodé,2012,4.5
3,Foli,Mawuli,M,Savanes,Dapaong,2016,5.6
4,Bissa,Ayite,M,Savanes,Mango,2021,5.0
5,Kpodar,Yao,M,maritime,Notsé,2011,7.3
6,Amegan,Delali,F,Kara,Kara,2021,2.0
7,Pali,Kokou,M,Savanes,Dapaong,2012,3.1
8,Adjovi,Abla,F,Savanes,Dapaong,2009,3.9
9,Sassou,Abla,F,Plateaux,Kpalimé,2006,
10,Adjaho,Efua,F,Plateaux,Notsé,2008,2.4
11,Bissa,Ama,F,Kara,Bassar,2014,4.4
12,Bissa,Kokou,M,Savanes,Mango,2020,1.7
13,Sassou,Sena,M,PLATEAUX,Tabligbo,2016,3.9
14,Foli,Akosua,F,Kara,Bassar,2017,4.5
15,Boukpessi,Ama,F,Savanes,Mango,2015,3.5
16,Adjaho,Sena,M,Plateaux,Atakpamé,2005,6.3
17,Bissa,Yao,M,Maritime,Tabligbo,2015,7.2
18,Boukpessi,Efua,F,Centrale,Sotouboua,2010,0.8
19,Adjaho,Sena,M,Maritime,Lomé,2020,3.5
20,Dogbe,Efua,F,Kara,Kara,2014,4.2
21,Tchamdja,Komla,M,Kara,Kara,2017,
22,Tchamdja,Mawuli,M,Centrale,Sotouboua,2011,4.6
23,Pali,Akosua,F,Savanes,Dapaong,2010,1.5
24,Foli,Edem,M,Plateaux,Atakpamé,2013,4.6
25,Adjaho,Edem,M,Centrale,Sokodé,2007,4.2
26,Kponou,Akpene,F,Plateaux,Atakpamé,2018,4.2
27,Kolani,Delali,F,Maritime,Lomé,2022,2.0
28,Pali,Abla,F,Centrale,Sokodé,2018,1.8
29,Nyaku,Sena,M,Kara,Kara,2013,1.7
30,Bissa,Komla,M,Kara,Niamtougou,2015,6.7
4,Bissa,Ayite,M,Savanes,Mango,2021,5.0
